ID,p1x,t_x,T,p2x
493836,0,0,10,0
493856,1,0.714285714,10,1
493871,0,0,10,0
493878,0,0,10,0
493880,0,0,10,0
493885,0,0,10,0
493894,0,0,10,0
493897,0,0,10,0
493898,2,8.142857143,10,1
493910,0,0,10,0
493929,0,0,10,0
493934,0,0,10,0
493935,0,0,10,0
493959,0,0,10,0
493978,0,0,10,0
493981,0,0,10,0
493990,0,0,10,0
494011,0,0,10,0
494020,0,0,10,2
494046,0,0,10,0
494055,0,0,10,2
494073,1,3.714285714,10,0
494079,0,0,10,0
494142,0,0,10,0
494153,0,0,10,1
494155,0,0,10,0
494167,0,0,10,0
494172,0,0,10,0
494192,0,0,10,0
494208,0,0,10,1
494211,0,0,10,0
494221,0,0,10,0
494266,0,0,10,0
494279,0,0,10,0
494329,0,0,10,0
494336,0,0,10,0
494352,0,0,10,0
494355,1,4.142857143,10,0
494356,0,0,10,0
494357,4,8.142857143,10,1
494363,0,0,10,0
494375,0,0,10,0
494379,0,0,10,0
494382,0,0,10,0
494383,0,0,10,0
494389,0,0,10,0
494403,0,0,10,0
494412,0,0,10,0
494421,0,0,10,0
494423,0,0,10,0
494442,1,2.571428571,10,1
494446,0,0,10,0
494447,0,0,10,0
494464,0,0,10,0
494465,0,0,10,0
494477,0,0,10,0
494478,0,0,10,0
494507,0,0,10,0
494517,0,0,10,0
494523,0,0,10,0
494530,0,0,10,0
494544,0,0,10,10
494548,4,9.857142857,10,0
494559,0,0,10,0
494564,0,0,10,0
494584,0,0,10,0
494605,1,0.142857143,10,0
494614,0,0,10,0
494641,0,0,10,0
494662,0,0,10,0
494664,0,0,10,0
494669,0,0,10,0
494670,0,0,10,0
494677,0,0,10,0
494687,0,0,10,0
494699,0,0,10,0
494710,0,0,10,0
494712,0,0,10,0
494716,1,4.857142857,10,0
494718,0,0,10,0
494724,0,0,10,0
494726,0,0,10,0
494736,0,0,10,0
494737,0,0,10,0
494801,0,0,10,0
494821,0,0,10,0
494824,0,0,10,0
494848,0,0,10,0
494849,2,1.714285714,10,1
494859,0,0,10,0
494866,0,0,10,1
494869,1,0.285714286,10,0
494870,0,0,10,0
494878,0,0,10,0
494885,0,0,10,0
494893,0,0,10,0
494897,0,0,10,5
494904,0,0,10,0
494911,0,0,10,0
494936,0,0,10,0
494944,0,0,10,0
494955,0,0,10,0
494962,0,0,10,0
494963,1,7,10,12
494965,0,0,10,0
494970,0,0,10,0
494976,0,0,10,0
494988,0,0,10,0
494989,1,0.142857143,10,0
494991,0,0,10,0
494993,0,0,10,0
494999,0,0,10,0
495000,4,4.428571429,10,0
495002,0,0,10,2
495008,0,0,10,0
495012,5,4.714285714,10,0
495015,0,0,10,0
495016,0,0,10,0
495023,0,0,10,0
495025,0,0,10,0
495026,0,0,10,0
495036,0,0,9.857142857,0
495041,0,0,9.857142857,0
495062,0,0,9.857142857,0
495065,0,0,9.857142857,0
495102,0,0,9.857142857,0
495106,1,0.428571429,9.857142857,0
495108,0,0,9.857142857,0
495117,1,0.428571429,9.857142857,0
495122,0,0,9.857142857,0
495130,1,0.428571429,9.857142857,0
495139,0,0,9.857142857,0
495145,0,0,9.857142857,2
495151,0,0,9.857142857,0
495155,0,0,9.857142857,0
495170,0,0,9.857142857,0
495215,0,0,9.857142857,0
495217,0,0,9.857142857,0
495246,1,2.428571429,9.857142857,0
495250,0,0,9.857142857,0
495273,0,0,9.857142857,0
495278,0,0,9.857142857,0
495290,0,0,9.857142857,0
495309,0,0,9.857142857,0
495427,0,0,9.857142857,0
495442,0,0,9.857142857,0
495443,0,0,9.857142857,0
495463,0,0,9.857142857,0
495471,0,0,9.857142857,0
495484,0,0,9.857142857,0
495495,0,0,9.857142857,0
495498,0,0,9.857142857,0
495504,0,0,9.857142857,0
495550,5,9.571428571,9.857142857,10
495552,0,0,9.857142857,0
495637,0,0,9.857142857,0
495646,0,0,9.857142857,0
495678,0,0,9.857142857,0
495680,0,0,9.857142857,0
495715,0,0,9.857142857,0
495716,0,0,9.857142857,0
495723,1,8,9.857142857,3
495739,3,7.857142857,9.857142857,14
495744,0,0,9.857142857,0
495767,0,0,9.857142857,0
495773,2,8.142857143,9.857142857,1
495779,0,0,9.857142857,0
495795,0,0,9.857142857,0
495799,0,0,9.857142857,0
495805,0,0,9.857142857,0
495810,0,0,9.857142857,0
495812,0,0,9.857142857,0
495820,0,0,9.857142857,0
495831,1,1.571428571,9.857142857,0
495868,1,0.285714286,9.857142857,0
495947,0,0,9.857142857,0
495951,0,0,9.857142857,0
495954,0,0,9.857142857,0
495962,0,0,9.857142857,0
495964,0,0,9.857142857,1
495972,0,0,9.857142857,0
495980,0,0,9.857142857,0
495986,0,0,9.857142857,0
495987,0,0,9.857142857,0
495991,0,0,9.857142857,0
496025,0,0,9.857142857,0
496028,0,0,9.857142857,1
496034,0,0,9.857142857,0
496043,0,0,9.857142857,0
496051,0,0,9.857142857,0
496052,0,0,9.857142857,0
496079,0,0,9.857142857,0
496099,0,0,9.857142857,0
496115,0,0,9.857142857,0
496117,1,3.142857143,9.857142857,10
496119,0,0,9.857142857,0
496138,0,0,9.857142857,0
496174,0,0,9.857142857,0
496220,0,0,9.857142857,0
496241,0,0,9.857142857,0
496242,0,0,9.857142857,0
496244,0,0,9.857142857,0
496252,0,0,9.857142857,0
496267,0,0,9.857142857,0
496269,1,1,9.857142857,0
496278,0,0,9.857142857,0
496289,0,0,9.857142857,0
496290,2,1.571428571,9.857142857,0
496296,0,0,9.857142857,0
496322,0,0,9.857142857,0
496350,0,0,9.857142857,0
496380,0,0,9.857142857,0
496415,0,0,9.857142857,0
496421,0,0,9.857142857,0
496422,0,0,9.857142857,0
496425,0,0,9.857142857,0
496439,0,0,9.857142857,0
496443,0,0,9.857142857,0
496444,0,0,9.857142857,0
496503,0,0,9.857142857,0
496528,0,0,9.857142857,0
496531,0,0,9.857142857,0
496537,0,0,9.857142857,0
496587,0,0,9.857142857,0
496588,0,0,9.857142857,0
496593,0,0,9.857142857,1
496594,0,0,9.857142857,4
496647,1,1.428571429,9.857142857,1
496666,0,0,9.857142857,0
496670,0,0,9.857142857,0
496697,0,0,9.857142857,0
496723,0,0,9.857142857,0
496724,0,0,9.857142857,0
496760,1,1.142857143,9.857142857,2
496765,0,0,9.857142857,0
496771,3,9.857142857,9.857142857,14
496777,0,0,9.857142857,0
496787,0,0,9.857142857,0
496796,1,3.571428571,9.857142857,3
496831,0,0,9.857142857,0
496841,0,0,9.857142857,0
496869,0,0,9.857142857,0
496883,0,0,9.857142857,0
496885,0,0,9.857142857,0
496887,0,0,9.857142857,0
496917,0,0,9.857142857,0
496921,0,0,9.857142857,0
496958,0,0,9.857142857,0
496961,0,0,9.857142857,0
496963,0,0,9.857142857,0
496984,0,0,9.857142857,0
496992,0,0,9.857142857,0
497039,1,7.428571429,9.857142857,1
497045,0,0,9.857142857,0
497061,0,0,9.857142857,0
497070,1,0.142857143,9.857142857,0
497077,1,2.285714286,9.857142857,3
497089,0,0,9.857142857,0
497103,2,9.714285714,9.857142857,0
497124,0,0,9.857142857,0
497129,0,0,9.857142857,0
497132,0,0,9.857142857,0
497145,0,0,9.857142857,0
497171,0,0,9.857142857,0
497215,0,0,9.857142857,0
497220,0,0,9.857142857,0
497254,0,0,9.857142857,0
497256,0,0,9.857142857,0
497262,0,0,9.857142857,0
497280,0,0,9.857142857,0
497288,0,0,9.857142857,0
497289,0,0,9.857142857,0
497298,4,7.571428571,9.857142857,29
497299,0,0,9.857142857,0
497304,0,0,9.857142857,0
497306,0,0,9.857142857,1
497345,0,0,9.857142857,0
497350,0,0,9.857142857,0
497356,0,0,9.857142857,0
497364,0,0,9.857142857,0
497371,0,0,9.857142857,0
497373,0,0,9.857142857,0
497374,0,0,9.857142857,0
497382,2,9.142857143,9.857142857,0
497392,0,0,9.857142857,0
497417,0,0,9.857142857,0
497419,0,0,9.857142857,0
497420,0,0,9.857142857,0
497421,0,0,9.857142857,0
497425,0,0,9.857142857,0
497429,0,0,9.857142857,0
497431,0,0,9.857142857,0
497435,0,0,9.857142857,0
497439,0,0,9.857142857,0
497461,0,0,9.857142857,0
497467,0,0,9.857142857,0
497468,0,0,9.857142857,0
497475,0,0,9.857142857,0
497513,0,0,9.714285714,1
497527,0,0,9.714285714,0
497532,0,0,9.714285714,0
497540,0,0,9.714285714,0
497569,0,0,9.714285714,0
497574,0,0,9.714285714,0
497576,0,0,9.714285714,0
497583,1,6.714285714,9.714285714,11
497589,0,0,9.714285714,0
497592,0,0,9.714285714,0
497598,0,0,9.714285714,0
497600,0,0,9.714285714,0
497623,0,0,9.714285714,0
497644,0,0,9.714285714,0
497699,0,0,9.714285714,0
497706,1,0.571428571,9.714285714,0
497711,3,6.428571429,9.714285714,1
497722,0,0,9.714285714,0
497726,0,0,9.714285714,0
497741,0,0,9.714285714,0
497760,0,0,9.714285714,0
497768,0,0,9.714285714,0
497776,0,0,9.714285714,0
497830,0,0,9.714285714,0
497847,0,0,9.714285714,0
497863,0,0,9.714285714,0
497878,0,0,9.714285714,0
497888,0,0,9.714285714,2
497892,0,0,9.714285714,0
497906,0,0,9.714285714,0
497912,0,0,9.714285714,1
497914,0,0,9.714285714,0
497927,1,4.285714286,9.714285714,19
497940,1,0.142857143,9.714285714,0
497945,0,0,9.714285714,0
497946,0,0,9.714285714,0
497947,0,0,9.714285714,0
497948,0,0,9.714285714,0
498002,0,0,9.714285714,0
498015,2,8,9.714285714,3
498022,0,0,9.714285714,0
498033,1,0.142857143,9.714285714,0
498035,0,0,9.714285714,0
498047,1,1.714285714,9.714285714,0
498051,0,0,9.714285714,0
498052,0,0,9.714285714,0
498063,0,0,9.714285714,0
498067,2,5.571428571,9.714285714,3
498080,0,0,9.714285714,1
498088,0,0,9.714285714,0
498096,0,0,9.714285714,0
498102,0,0,9.714285714,0
498103,0,0,9.714285714,0
498114,0,0,9.714285714,0
498134,0,0,9.714285714,0
498143,0,0,9.714285714,0
498146,0,0,9.714285714,0
498147,0,0,9.714285714,0
498153,0,0,9.714285714,0
498155,0,0,9.714285714,0
498172,1,6.714285714,9.714285714,0
498176,0,0,9.714285714,0
